created_at,card_id,name,rarity,description,power_hp,torque_nm,max_speed_kmh,weight_t,make,model,year,acceleration_0_100,power_kw,cylinder,engine_size,boost,id,legacy_id,country_code
2025-05-15 05:09:22.747108+00,5d281821-3dd0-4af2-af92-13583bd496e8,GTV,Rare,Alfa Romeo GTV (116),160,213,205,1210,Alfa Romeo,GTV,1980,8.3,118,V6,2492,N/A,e8c6fe66-10e0-4699-a2ba-f95b5ce4e893,13,🇮🇹
2025-09-02 14:39:16.204046+00,6a7efd2c-49bf-4069-a08c-834182161a5e,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2023,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,e9805c76-5272-449b-abe2-1fac799d4881,,🇯🇵
2025-09-02 14:39:16.204046+00,6e99c953-c861-4af7-bcfe-2d9231f6064e,,,Acura MDX (3rd gen) 3.5,290,,,,Acura,MDX 3.5,2014,,216.3,6.0,3.5 V6,NA,eafa1402-bedb-4984-a706-ecebb59e91e0,,🇯🇵
2025-09-02 14:39:16.204046+00,611a69e5-5b94-46b4-ab9a-9509357b66ac,,,Acura RSX base (DC5),160,191.16779999999997,,,Acura,RSX Base,2002,,119.3,4.0,2.0 I4,NA,ebd005c9-e76c-44d5-aaa3-f8bf98bc0bf5,,🇯🇵
2025-09-02 14:39:16.204046+00,688d9c34-a645-4c97-8555-584bfbdc9a77,,,Acura NSX Type S (NC1),600,,307.0,,Acura,NSX Type S,2022,2.9,447.4,6.0,3.5 TT V6 + 3 e-motors,Twin-turbo + Hybrid,f024389f-d3e4-4afe-92ad-796794b6f993,,🇯🇵
2025-05-15 05:09:22.747151+00,2e98f32d-cd55-4fc1-b78f-856603445a7c,166,,,,,,,Alfa Romeo,166,2004,,,,,,f06362af-51a9-4048-86d2-a2c48ea90f02,16,🇮🇹
2025-09-02 14:39:16.204046+00,fce44ec9-bdd5-4952-98a9-e0a82d0f3e3f,,,Acura TLX 2.0T,272,380.0,,,Acura,TLX 2.0T,2023,6.1,202.8,4.0,2.0 I4 Turbo,Turbo,f18aefbb-52fc-405d-9f1f-cf3c24b2d34f,,🇯🇵
2025-09-02 14:39:16.204046+00,c7220c5e-6981-4085-a475-16680737f1f7,,,Acura MDX Type S,355,480.0,,,Acura,MDX Type S,2023,5.5,264.7,6.0,3.0 V6 Turbo,Turbo,f460647d-71b6-4fee-ae6c-3bbe7778dcb9,,🇯🇵
2025-09-02 14:39:16.204046+00,930693b3-f224-4d93-b9ca-ca2113ac7b57,,,Acura TSX Sport Wagon,201,233.0,,,Acura,TSX Sport Wagon,2011,,149.9,4.0,2.4 I4,NA,f512a353-9faa-4cb2-a082-81ef48736800,,🇯🇵
2025-05-15 05:09:22.747129+00,24d625d9-2aa9-4b5d-9faf-69376f14c17e,Giulietta,,,,,,,Alfa Romeo,Giulietta,2016,,,,,,fabb9766-c6a4-4c50-8ba9-39cf76fddb7e,15,🇮🇹
2025-09-02 14:39:16.204046+00,3ba6ff76-c7a6-47bf-ac59-a6a16a2e61b7,,,Acura RLX,310,368.0,,,Acura,RLX,2017,6.2,231.2,6.0,3.5 V6,NA,ff075235-f0a2-4f53-84e3-d455a3941fc4,,🇯🇵
2025-05-15 05:09:22.747024+00,5c7f80b8-19e7-4922-a905-be616266967f,Brera,,,,,,,Alfa Romeo,Brera,2007,,,,,,ffbf2693-7a10-4c51-bd15-81c957ae358d,6,🇮🇹
